2024 RANK,2023 RANK,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE
54,59,ludwig-maximilians-universität münchen,DE,Germany,XL,FC,VH,5,A,93,40,84,63,47,335,51,254,73,260,38,362,94,57,49,140,77,167=,73
55,61=,university of bristol,UK,United Kingdom,L,FC,VH,5,A,75,78,85,60,47,331,65,179,86,205,87,136,84,122,40,181,81,141,72
56,42=,kaist - korea advanced institute of science & technology,KR,South Korea,M,CO,VH,4,A,90,44,89,53,66,202,98,35,22,570,12,682,11,662,42,174,14,621=,72
57,50=,duke university,US,United States,L,FC,VH,5,B,86,53,69,106,100,7,40,344,17,634,52,278,90,82,89,37,95,53=,72
58,72,university of texas at austin,US,United States,XL,FC,VH,5,A,94,35,83,65,9,701+,87,85,9,701+,11,691,79,147,70,73,78,163=,72
59,60,sorbonne university,FR,France,XL,FC,VH,1,A,89,48,53,151,43,361,85,93,35,451,50,297,100,4,40,182,76,171=,72
60,40,the hong kong university of science and technology,HK,Hong Kong SAR,M,CO,VH,3,A,83,63,43,216,54,289,99,20,100,19,91,111,5,701+,50,131,31,432=,71
61,76,ku leuven,BE,Belgium,XL,FC,VH,5,A,85,56,42,220,7,701+,93,66,93,163,46,318,100,6,56,111,76,173=,70
62,53,"university of california, san diego (ucsd)",US,United States,XL,FC,VH,4,A,89,47,50,167,50,313,74,130,68,285,51,282,95,55,18,471,73,189=,70
63,80,university of washington,US,United States,XL,FC,VH,5,A,84,58,50,168,19,692,94,62,19,600,33,392,94,59,70,74,88,106=,69
64,85,university of illinois at urbana-champaign,US,United States,XL,FC,VH,5,A,85,54,71,100,8,701+,87,86,11,701+,49,303,76,164,66,84,84,128=,69
=65,65=,the hong kong polytechnic university,HK,Hong Kong SAR,L,CO,VH,3,A,68,97,30,323,68,192,89,77,100,40,87,133,42,362,49,138,93,73,69
=65,70,universiti malaya (um),MY,Malaysia,L,FC,VH,4,A,81,68,96,34,72,178,33,416,53,346,59,254,79,148,28,286,93,68,69
67,64,the university of warwick,UK,United Kingdom,L,FC,VH,4,A,71,86,88,56,37,420,49,275,98,109,99,47,90,87,47,148,63,239=,69
68,87,the university of auckland,NZ,New Zealand,L,FC,VH,5,A,82,65,41,231,19,687,62,198,100,68,92,108,64,220,94,28,100,9,68
69,77,national taiwan university (ntu),TW,Taiwan,XL,FC,VH,4,A,93,39,91,46,31,508,47,288,18,619,20,547,33,431,100,12,96,49,68
70,54,city university of hong kong,HK,Hong Kong SAR,M,CO,VH,3,A,60,122,27,356,87,99,100,9,100,17,100,2,17,570,30,269,82,136,68
71,69,université paris-saclay,FR,France,XL,CO,VH,1,A,59,128,99,13,100,25,46,294,39,416,61,244,99,17,34,224,74,182=,68
72,90,the university of western australia,AU,Australia,L,FC,VH,5,A,56,138,45,200,17,701+,99,23,100,29,100,34,90,83,66,82,70,204=,67
=73,63,brown university,US,United States,M,FC,VH,5,B,58,131,42,221,78,145,86,89,85,212,52,279,58,258,75,59,70,201=,66
=73,89,kth royal institute of technology,SE,Sweden,L,CO,VH,5,A,46,181,51,162,66,201,90,74,93,162,68,217,81,142,57,108,96,44=,66
75,86,university of leeds,UK,United Kingdom,XL,FC,VH,5,A,70,89,77,77,37,421,42,320,85,208,90,118,99,16,38,193,91,88,66
=76,81,university of glasgow,UK,United Kingdom,XL,FC,VH,5,A,76,77,71,101,42,377,32,423,96,143,100,41,90,80,27,306,100,11,65
=76,73,yonsei university,KR,South Korea,L,FC,VH,4,B,80,72,96,31,87,97,36,385,20,594,50,298,25,498,71,69,38,377=,65
78,92,durham university,UK,United Kingdom,L,FC,VH,5,A,60,124,89,50,28,548,53,241,98,125,87,135,86,108,29,274,98,30=,65
79,74,korea university,KR,South Korea,L,FC,VH,4,B,82,64,94,40,81,137,37,382,14,694,36,370,20,546,71,71,59,255=,65
80,68,osaka university,JP,Japan,L,FC,VH,4,A,81,67,89,51,55,272,63,191,29,498,13,658,27,486,23,361,59,255=,64
=81,98,"trinity college dublin, the university of dublin",IE,Ireland,L,FC,VH,5,A,69,92,40,238,24,601,64,184,100,79,93,104,82,132,71,70,76,173=,64
=81,78,university of southampton,UK,United Kingdom,L,FC,VH,5,A,52,154,51,160,53,298,71,140,96,138,97,70,97,31,33,235,83,133=,64
83,93,pennsylvania state university,US,United States,XL,FC,VH,5,A,78,76,63,126,28,540,63,189,23,560,27,449,97,36,48,145,95,52,63
84,91,university of birmingham,UK,United Kingdom,XL,FC,VH,5,A,68,99,76,81,41,379,38,364,92,169,84,148,96,41,30,270,80,146=,63
=85,95,lund university,SE,Sweden,L,FC,VH,5,A,69,93,48,185,50,310,38,373,99,102,77,173,95,52,66,83,99,14,63
=85,115,universidade de são paulo,BR,Brazil,XL,FC,VH,4,A,92,41,83,66,19,688,30,434,6,701+,2,701+,91,76,90,36,96,44=,63
=87,75,lomonosov moscow state university,RU,Russia,XL,FC,VH,5,A,81,69,78,74,100,26,5,701+,20,587,92,105,85,115,82,48,13,631=,62
=87,65=,ruprecht-karls-universität heidelberg,DE,Germany,L,FO,VH,5,A,78,75,52,156,100,29,38,365,53,349,50,290,90,88,20,423,43,345=,62
89,109,the university of adelaide,AU,Australia,L,FC,VH,5,A,54,144,37,267,16,701+,87,83,100,69,100,40,79,154,38,191,96,42,62
90,137,university of technology sydney,AU,Australia,L,CO,VH,3,A,43,195,58,143,9,701+,95,52,97,132,94,95,80,146,30,260,93,72,62
=91,55,tokyo institute of technology (tokyo tech),JP,Japan,M,CO,VH,4,A,74,79,95,39,84,109,53,244,32,475,32,404,9,701+,20,425,18,567=,62
=91,83=,university of zurich,CH,Switzerland,L,FC,VH,5,A,59,126,28,352,90,88,52,248,100,60,53,274,87,100,75,58,80,149,62
=93,108,boston university,US,United States,L,FC,VH,5,B,62,113,68,109,33,485,60,204,22,576,88,132,73,187,69,76,86,113=,61
=93,104=,universidad nacional autónoma de méxico (unam),MX,Mexico,XL,FC,VH,5,A,97,28,98,18,40,397,3,701+,8,701+,3,701+,85,120,68,78,89,101=,61
=95,67,universidad de buenos aires (uba),AR,Argentina,XL,FC,VH,5,A,93,36,98,20,74,170,2,701+,63,309,67,224,28,470,26,311,19,555=,61
=95,96=,university of st andrews,UK,United Kingdom,M,FO,VH,5,A,47,173,67,114,65,212,58,223,99,103,100,29,51,306,22,370,92,77=,61
97,88,georgia institute of technology,US,United States,L,CO,VH,5,A,67,100,85,59,15,701+,67,163,39,417,65,230,33,432,42,175,70,201=,61
98,118=,freie universitaet berlin,DE,Germany,L,FC,VH,4,A,81,70,51,163,4,701+,71,141,63,308,44,332,85,118,22,378,60,251,61
99,129=,purdue university,US,United States,XL,FC,VH,5,A,64,108,81,71,10,701+,68,155,42,398,46,317,75,170,53,117,67,215=,61
=100,71,pohang university of science and technology (postech),KR,South Korea,S,FO,VH,3,B,52,153,76,79,100,21,98,29,34,464,3,701+,1,701+,13,637,17,581=,60
=100,114,university of nottingham,UK,United Kingdom,XL,FC,VH,5,A,61,116,72,96,32,492,47,290,90,183,75,185,98,18,24,342,80,150=,60
102,83=,university of wisconsin-madison,US,United States,XL,FC,VH,5,A,80,71,48,182,61,229,37,376,31,483,23,501,84,126,73,61,84,126=,60
103,121,pontificia universidad católica de chile (uc),CL,Chile,L,FC,VH,5,B,93,38,100,11,21,654,12,701+,16,645,4,701+,57,270,76,56,91,84=,60
104,96=,the university of sheffield,UK,United Kingdom,L,FC,VH,5,A,59,130,52,153,55,278,47,289,84,218,98,69,96,38,25,332,76,169,60
105,128,uppsala university,SE,Sweden,L,FC,VH,5,A,63,111,31,320,48,330,46,296,98,108,82,152,96,47,58,105,99,12,59
106,147=,rwth aachen university,DE,Germany,XL,FC,VH,5,A,50,163,93,44,6,701+,79,120,49,362,83,151,64,223,24,354,53,288=,59
=107,82,university of copenhagen,DK,Denmark,XL,FC,VH,5,A,74,80,26,371,100,19,21,543,91,175,23,506,98,19,60,98,87,108=,59
=107,112=,utrecht university,NL,Netherlands,XL,FC,VH,5,A,67,102,32,311,33,487,81,108,57,323,21,531,95,54,27,309,84,128=,59
109,116=,aalto university,FI,Finland,L,FO,VH,2,A,45,187,42,223,40,391,79,112,96,147,38,363,56,277,89,39,95,53=,59
110,122,newcastle university,UK,United Kingdom,L,FC,VH,4,A,48,170,75,87,36,445,50,264,90,182,71,203,96,39,24,349,99,17,59
111,110,university of alberta,CA,Canada,XL,FC,VH,5,A,57,135,37,266,43,370,59,213,98,116,73,193,92,68,46,152,76,170,58
112,154,university of waterloo,CA,Canada,XL,CO,VH,4,A,41,208,67,117,7,701+,83,100,77,241,78,172,55,281,56,112,97,36=,58
113,79,tohoku university,JP,Japan,L,FC,VH,5,A,72,85,84,61,99,41,30,436,14,683,14,647,28,474,17,486,75,177=,58
114,172=,western university,CA,Canada,XL,FC,VH,5,A,32,273,47,186,4,701+,98,30,100,86,55,268,56,274,93,30,100,8,57
115,106=,university of helsinki,FI,Finland,L,CO,VH,5,A,65,105,32,304,63,223,50,265,72,268,5,701+,96,40,66,86,83,133=,57
116,134,university of southern california,US,United States,XL,FC,VH,5,B,53,150,48,183,22,634,68,157,32,474,74,191,63,228,93,32,99,15,57
117,101,university of oslo,NO,Norway,L,FC,VH,5,A,56,139,11,601+,82,132,64,183,86,202,25,472,96,43,42,173,92,80=,57
118,153,stockholm university,SE,Sweden,L,CO,VH,4,A,54,145,15,543,28,543,72,138,82,223,84,147,95,51,76,57,75,175=,57
119,141=,"kit, karlsruhe institute of technology",DE,Germany,L,CO,VH,4,A,46,182,77,76,36,443,72,139,70,275,47,312,76,166,39,187,24,504=,56
120,131=,humboldt-universität zu berlin,DE,Germany,XL,FC,VH,5,A,90,43,66,120,8,701+,31,425,68,286,32,406,86,110,14,586,38,382=,56
121,104=,technical university of denmark,DK,Denmark,M,FO,VH,5,A,33,270,16,525,100,27,83,99,100,53,82,153,72,189,29,275,55,277=,56
122,146,lancaster university,UK,United Kingdom,L,FC,VH,4,A,40,215,40,236,25,581,79,115,94,157,91,116,75,171,21,400,98,24,56
123,139,politecnico di milano,IT,Italy,XL,FO,VH,5,A,69,94,71,99,5,701+,48,282,64,302,57,262,75,173,37,201,29,453=,55
=124,138,eindhoven university of technology,NL,Netherlands,M,FO,VH,4,A,29,295,76,78,40,390,90,75,100,30,71,205,40,377,20,426,18,567=,55
=124,136,university of basel,CH,Switzerland,M,FC,VH,5,A,28,314,18,494,57,253,97,44,100,34,85,143,74,175,41,179,70,201=,55
=126,131=,leiden university,NL,Netherlands,XL,FC,VH,5,A,69,95,27,362,20,659,63,190,86,204,50,292,94,61,27,303,46,331=,55
=126,120,university of bern,CH,Switzerland,M,FO,VH,5,A,31,284,24,396,55,280,99,17,100,42,37,369,89,89,26,313,74,182=,55
128,125=,university of geneva,CH,Switzerland,L,FC,VH,5,A,45,184,14,579,42,374,75,127,100,45,96,81,87,99,31,246,63,232=,54
129,125=,chalmers university of technology,SE,Sweden,M,FO,VH,5,B,27,326,52,158,51,306,81,107,100,49,67,220,52,299,29,278,83,132,54
=130,195=,macquarie university,AU,Australia,L,FC,VH,4,A,32,276,41,228,10,701+,81,105,99,104,94,94,81,139,43,167,92,80=,54
=130,151,university of vienna,AT,Austria,XL,FC,VH,5,A,71,88,43,217,22,629,15,646,99,92,88,129,94,62,57,109,74,180,54
=132,102=,"university of california, davis",US,United States,XL,FC,VH,5,A,64,107,45,199,30,518,41,338,70,276,49,301,78,159,19,439,99,16,53
=132,102=,"university of north carolina, chapel hill",US,United States,XL,FC,VH,5,A,63,110,34,290,73,171,43,316,25,541,10,701+,82,133,48,142,97,38,53
=134,171,sapienza university of rome,IT,Italy,XL,FC,VH,5,A,79,74,41,229,5,701+,45,301,3,701+,11,697,97,33,60,101,92,79,53
=134,164=,texas a&m university,US,United States,XL,FC,VH,5,A,62,112,60,135,5,701+,68,152,23,564,13,656,88,93,30,259,61,246=,53
136,159,michigan state university,US,United States,XL,FC,VH,5,A,60,120,49,174,11,701+,58,221,59,320,13,665,96,45,46,153,71,199,53
=137,143=,universiti sains malaysia (usm),MY,Malaysia,L,FC,VH,4,A,61,115,75,86,55,273,16,613,25,538,89,124,60,246,18,462,86,116,53
=137,94,university of science and technology of china,CN,China (Mainland),L,CO,VH,4,A,53,149,18,500,91,80,99,26,17,639,5,701+,32,444,25,335,22,528=,53
139,145,university of groningen,NL,Netherlands,XL,FC,VH,5,A,53,148,30,326,51,304,43,311,94,159,86,140,92,67,22,372,68,214,53
140,190=,rmit university,AU,Australia,XL,CO,VH,3,A,39,223,50,173,5,701+,69,151,100,37,93,102,57,267,29,277,96,43,52
=141,133,nanjing university,CN,China (Mainland),XL,FC,VH,5,A,60,123,25,378,31,504,97,42,55,334,7,701+,26,488,24,356,39,367=,52
=141,116=,université de montréal,CA,Canada,XL,FC,VH,5,A,57,136,35,283,77,154,25,491,88,191,52,277,65,216,36,205,96,50,52
=143,161,aarhus university,DK,Denmark,L,FC,VH,4,A,56,140,25,387,33,490,54,238,90,181,13,661,95,56,45,156,98,18=,52
=143,106=,king abdulaziz university (kau),SA,Saudi Arabia,XL,FC,VH,4,A,55,143,62,127,53,300,38,374,98,124,23,500,84,121,17,483,44,342=,52
=145,125=,queen mary university of london,UK,United Kingdom,L,FC,VH,5,A,49,168,33,300,39,409,51,260,100,85,99,43,73,184,17,506,70,207=,52
=145,100,rice university,US,United States,M,FC,VH,5,B,39,222,23,415,66,205,83,101,91,176,95,89,10,671,30,262,43,345=,52
=145,99,sungkyunkwan university(skku),KR,South Korea,L,FC,VH,5,B,64,106,72,98,82,129,38,369,18,618,34,387,10,672,27,304,28,471=,52
148,179=,university of bath,UK,United Kingdom,L,CO,VH,4,A,36,244,74,88,16,701+,62,196,96,136,82,155,59,251,27,310,48,316=,52
=149,172=,indian institute of technology bombay (iitb),IN,India,L,CO,VH,4,A,56,141,82,69,19,697,73,133,5,701+,1,701+,9,701+,47,146,55,277=,52
=149,178,universitat autònoma de barcelona,ES,Spain,XL,FC,VH,4,A,63,109,39,246,11,701+,71,145,18,615,17,582,84,123,14,623,95,60,52
=151,140,the ohio state university,US,United States,XL,FC,VH,5,A,59,125,56,148,54,287,31,429,50,359,17,590,85,116,35,216,78,158=,51
=151,124,wageningen university & research,NL,Netherlands,L,FO,VH,5,A,43,196,19,472,98,47,46,292,55,336,79,170,98,22,19,438,72,196=,51
153,163,the university of exeter,UK,United Kingdom,L,FC,VH,4,A,43,199,51,161,27,555,43,308,92,174,76,180,90,85,20,424,95,57,51
=154,167=,alma mater studiorum - university of bologna,IT,Italy,XL,FC,VH,5,A,80,73,40,237,3,701+,50,267,8,701+,11,695,91,75,35,219,57,268=,51
=154,166,cardiff university,UK,United Kingdom,L,FC,VH,5,A,47,176,48,181,34,474,40,347,84,217,71,206,82,138,19,442,98,25,51
=154,158,technische universität berlin (tu berlin),DE,Germany,L,CO,VH,5,A,56,137,69,107,53,296,25,492,51,351,69,214,55,284,25,327,52,294,51
=154,118=,washington university in st. louis,US,United States,L,FC,VH,5,B,39,224,10,601+,100,28,51,259,84,214,68,219,61,241,34,228,91,83,51
158,123,universiti putra malaysia (upm),MY,Malaysia,L,FC,VH,4,A,59,129,68,113,68,194,23,519,44,381,97,72,45,341,10,701+,23,511=,50
=159,143=,ghent university,BE,Belgium,XL,FC,VH,5,A,53,146,25,379,79,141,25,486,80,231,21,528,100,8,52,124,91,84=,50
=159,167=,universidad de chile,CL,Chile,XL,FC,VH,5,A,82,66,97,30,10,701+,13,687,9,701+,5,701+,49,322,50,130,36,389=,50
=159,129=,universiti kebangsaan malaysia (ukm),MY,Malaysia,L,FC,VH,4,A,60,121,70,103,88,95,12,701+,53,347,61,242,57,272,11,701+,24,497=,50
162,185=,university of wollongong,AU,Australia,L,FC,VH,3,A,30,290,25,382,16,701+,94,60,96,146,56,265,73,186,17,492,92,75=,50
163,149,"university of california, santa barbara (ucsb)",US,United States,L,CO,VH,5,A,55,142,19,470,10,701+,97,41,70,274,22,522,44,352,10,701+,56,271=,50
=164,157,hanyang university,KR,South Korea,L,FC,VH,4,B,49,167,81,70,84,117,23,510,17,632,54,269,16,587,25,336,78,163=,50
=164,135,kyushu university,JP,Japan,L,FC,VH,5,A,57,132,70,104,86,103,24,503,15,671,26,467,33,436,15,547,78,163=,50
=164,184,universitat de barcelona,ES,Spain,XL,FC,VH,5,A,73,83,23,412,13,701+,42,325,22,574,29,437,98,23,40,180,98,23,50
167,162,university of york,UK,United Kingdom,L,FC,VH,4,A,44,194,35,275,45,351,40,342,88,192,78,171,79,150,20,421,98,26=,49
168,188,university of florida,US,United States,XL,FC,VH,5,A,48,171,59,137,71,180,27,467,19,604,11,699,98,24,39,184,96,48,49
=169,164=,"university of maryland, college park",US,United States,XL,FC,VH,5,A,49,165,26,369,35,451,68,154,32,477,14,639,86,113,42,176,82,137=,49
=169,229,university of reading,UK,United Kingdom,L,CO,VH,5,A,33,263,39,241,16,701+,67,161,88,189,81,158,78,158,32,237,73,189=,49
=171,226=,complutense university of madrid,ES,Spain,XL,FC,VH,4,A,68,96,69,105,26,573,7,701+,9,701+,26,469,83,127,58,106,96,41,49
=171,181=,university college dublin,IE,Ireland,L,FC,VH,5,A,50,162,41,226,21,652,39,354,99,101,61,245,51,309,69,75,70,204=,49
=173,208=,qatar university,QA,Qatar,M,FC,VH,3,A,27,320,44,206,65,213,39,356,100,20,97,74,60,244,96,24,36,397=,49
=173,192,"the university of newcastle, australia (uon)",AU,Australia,M,FC,VH,4,A,29,296,27,361,37,436,91,71,100,73=,17,584,49,319,13,696,93,70=,49
=173,237=,university of cape town,ZA,South Africa,L,FC,VH,5,A,44,190,51,164,13,701+,46,295,60,317,21,527,95,49,89,38,75,175=,49
=176,208=,erasmus university rotterdam,NL,Netherlands,XL,FO,VH,5,A,37,232,51,165,23,624,53,240,83,221,60,247,72,190,64,91,49,312=,49
=176,112=,nagoya university,JP,Japan,L,FC,VH,4,A,62,114,65,123,88,96,33,412,15,661,19,558,18,565,17,509,24,502=,49
=176,190=,university of liverpool,UK,United Kingdom,L,FC,VH,5,A,44,191,35,277,40,401,38,371,88,194,79,168,97,29,26,324,72,193,49
179,219,arizona state university,US,United States,XL,CO,VH,5,A,47,174,37,265,7,701+,62,199,65,299,30,422,88,97,27,307,97,33=,48
=180,160,king fahd university of petroleum & minerals,SA,Saudi Arabia,M,FC,VH,4,A,33,267,37,268,83,124,66,165,100,24,32,402,26,492,39,185,21,536=,48
=180,195=,université catholique de louvain (uclouvain),BE,Belgium,L,FC,VH,5,B,49,166,31,317,4,701+,60,203,89,186,39,347,83,130,52,125,55,279=,48
182,242,university of calgary,CA,Canada,XL,FC,VH,4,A,38,229,61,129,20,668,42,330,83,222,62,241,62,232,39,188,92,82,48
183,193,curtin university,AU,Australia,L,CO,VH,3,A,32,271,32,309,14,701+,86,88,100,43,26,459,85,119,26,320,51,305=,48
=184,111,école normale supérieure de lyon,FR,France,S,CO,VH,5,A,31,285,14,570,96,59,98,27,71,272,15,628,34,425,10,701+,6,701+,48
=184,179=,technische universität wien,AT,Austria,M,FO,VH,5,A,33,266,44,201,13,701+,86,91,79,232,89,123,45,347,13,649,19,552=,48
